Strain,Parent_strain,organism,Treatment,Light,Time,rep1,rep2,rep3,OriSource
VOL8,MIT9515,P,EZ55,Low,6,4380.00,3670.00,6320.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,Low,8,13100.00,16800.00,22700.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,Low,10,44700.00,56000.00,78800.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,Low,13,243000.00,324000.00,450000.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,Low,16,1210000.00,1740000.00,2720000.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,Low,19,17000.00,10800000.00,18100000.00,Morris_2011_5
VOL8,MIT9515,P,EZ55,Low,23,73800000.00,119000000.00,NAN,Morris_2011_5
WH7803,WH7803,S,Axenic,High,0,NAN,106.00,35.00,Morris_2011_5
WH7803,WH7803,S,Axenic,High,1,71.00,177.00,71.00,Morris_2011_5
WH7803,WH7803,S,Axenic,High,3,212.00,71.00,424.00,Morris_2011_5
WH7803,WH7803,S,Axenic,High,6,1520.00,918.00,2610.00,Morris_2011_5
WH7803,WH7803,S,Axenic,High,8,5090.00,3110.00,10400.00,Morris_2011_5
WH7803,WH7803,S,Axenic,High,10,15700.00,17900.00,39300.00,Morris_2011_5
WH7803,WH7803,S,Axenic,High,12,84500.00,92700.00,205000.00,Morris_2011_5
WH7803,WH7803,S,Axenic,High,14,328000.00,475000.00,1080000.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,0,106.00,141.00,35.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,1,791.00,0.00,0.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,3,177.00,283.00,71.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,6,71.00,106.00,71.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,8,212.00,71.00,141.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,10,530.00,389.00,495.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,12,177.00,141.00,495.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,14,883.00,318.00,671.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,20,6960.00,2370.00,4800.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,32,818000.00,135000.00,351000.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,35,2500000.00,1030000.00,3400.00,Morris_2011_5
WH7803,WH7803,S,Axenic,Low,39,27800000.00,4080000.00,11600000.00,Morris_2011_5
WH7803,WH7803,S,EZ55,High,0,49.00,244.00,347.00,Morris_2011_5
WH7803,WH7803,S,EZ55,High,1,177.00,141.00,283.00,Morris_2011_5
WH7803,WH7803,S,EZ55,High,3,742.00,247.00,495.00,Morris_2011_5
WH7803,WH7803,S,EZ55,High,6,3460.00,4350.00,3390.00,Morris_2011_5
WH7803,WH7803,S,EZ55,High,8,16200.00,13600.00,17600.00,Morris_2011_5
WH7803,WH7803,S,EZ55,High,10,60600.00,57700.00,85900.00,Morris_2011_5
WH7803,WH7803,S,EZ55,High,12,259000.00,293000.00,478000.00,Morris_2011_5
WH7803,WH7803,S,EZ55,High,14,1380000.00,1960000.00,3020000.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,0,35.00,164.00,169.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,1,0.00,0.00,0.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,3,212.00,106.00,177.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,6,106.00,141.00,247.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,8,353.00,283.00,495.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,10,812.00,918.00,1200.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,12,954.00,813.00,2370.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,14,1980.00,2080.00,6320.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,20,19600.00,18300.00,81100.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,32,1490000.00,1430000.00,14500000.00,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,35,4080000.00,24500000.00,NAN,Morris_2011_5
WH7803,WH7803,S,EZ55,Low,39,24300000.00,26100000.00,NAN,Morris_2011_5
