Strain,Parent_strain,organism,Treatment,Light,Time,rep1,rep2,rep3,OriSource
UH18301,UH18301,P,EZ55,Low,10,459.00,459.00,1380.00,Morris_2011_5
UH18301,UH18301,P,EZ55,Low,12,1910.00,954.00,353.00,Morris_2011_5
UH18301,UH18301,P,EZ55,Low,14,6820.00,4060.00,2790.00,Morris_2011_5
UH18301,UH18301,P,EZ55,Low,20,140000.00,64800.00,33900.00,Morris_2011_5
UH18301,UH18301,P,EZ55,Low,32,103000000.00,44300000.00,16703100.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,0,106.00,106.00,141.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,1,353.00,177.00,318.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,3,459.00,353.00,318.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,6,671.00,530.00,424.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,8,35.00,106.00,141.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,10,600.00,918.00,812.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,12,353.00,600.00,706.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,14,254.00,170.00,170.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,20,1450.00,2900.00,2230.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,23,989.00,1200.00,2260.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,32,918.00,918.00,1910.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,High,35,459.00,247.00,212.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,0,35.00,35.00,71.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,1,0.00,0.00,0.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,3,353.00,212.00,283.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,6,106.00,247.00,177.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,8,318.00,1410.00,283.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,10,812.00,2190.00,742.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,12,636.00,4380.00,847.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,14,1480.00,9640.00,1170.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,20,9110.00,109000.00,7170.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,32,404000.00,21700000.00,295000.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,35,1210000.00,NAN,3400.00,Morris_2011_5
VOL1,MIT9215,P,Axenic,Low,39,6420000.00,NAN,2360000.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,High,0,113.00,360.00,156.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,High,1,318.00,212.00,283.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,High,3,354.00,318.00,106.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,High,6,2760.00,2690.00,2650.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,High,8,8300.00,9150.00,10200.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,High,10,31400.00,32400.00,34900.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,High,12,103000.00,122000.00,116000.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,High,14,371000.00,471000.00,517000.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,High,20,24000000.00,24400000.00,27200000.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,0,472.00,169.00,35.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,1,526.00,582.00,35.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,3,141.00,35.00,229.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,6,212.00,318.00,318.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,8,777.00,1020.00,1550.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,10,1340.00,1700.00,3070.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,12,2400.00,4130.00,7810.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,14,6080.00,9110.00,19200.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,20,69600.00,168000.00,372000.00,Morris_2011_5
VOL1,MIT9215,P,EZ55,Low,32,20300000.00,63300000.00,150000000.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,0,141.00,106.00,177.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,1,177.00,247.00,247.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,3,530.00,459.00,495.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,6,1170.00,1240.00,989.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,8,671.00,671.00,177.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,10,954.00,1770.00,1020.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,12,565.00,177.00,212.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,14,170.00,339.00,339.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,20,565.00,1240.00,848.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,23,1630.00,1340.00,5160.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,32,671.00,424.00,954.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,High,35,318.00,530.00,177.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,0,35.00,35.00,35.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,1,0.00,0.00,1070.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,3,212.00,389.00,229.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,6,318.00,212.00,248.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,8,918.00,1170.00,636.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,10,1270.00,2160.00,1310.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,12,2690.00,3670.00,883.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,14,9180.00,8340.00,5620.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,20,112000.00,106000.00,59300.00,Morris_2011_5
VOL3,NATL2A,P,Axenic,Low,32,30000000.00,25700000.00,10600000.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,0,447.00,90.00,99.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,1,459.00,247.00,495.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,3,601.00,495.00,495.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,6,2080.00,2230.00,1450.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,8,4880.00,3960.00,3040.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,10,9570.00,10400.00,7030.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,12,23300.00,23500.00,14200.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,14,59400.00,56700.00,36600.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,20,1150000.00,1060000.00,638000.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,High,23,5450000.00,4180000.00,2500000.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,0,744.00,562.00,35.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,1,0.00,0.00,0.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,3,106.00,212.00,235.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,6,247.00,460.00,141.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,8,636.00,671.00,495.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,10,1700.00,1240.00,1840.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,12,3460.00,4130.00,2690.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,14,10700.00,13700.00,8800.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,20,176000.00,239000.00,164000.00,Morris_2011_5
VOL3,NATL2A,P,EZ55,Low,32,50600000.00,77500000.00,64600000.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,0,389.00,247.00,530.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,1,212.00,177.00,177.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,3,1550.00,812.00,2330.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,6,2010.00,1730.00,1590.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,8,5650.00,6040.00,6110.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,10,19300.00,19700.00,17500.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,13,130000.00,124000.00,107000.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,16,916000.00,833000.00,729000.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,19,6610000.00,5780000.00,5260000.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,High,23,79800000.00,82500000.00,75700000.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,0,389.00,389.00,318.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,1,283.00,247.00,389.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,3,1870.00,1100.00,1310.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,6,3890.00,3430.00,3530.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,8,10600.00,9330.00,8480.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,10,21400.00,19000.00,21500.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,13,50400.00,58300.00,68900.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,16,142000.00,177000.00,243000.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,19,595000.00,777000.00,1080000.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,23,5110000.00,7520000.00,10000000.00,Morris_2011_5
VOL4,MIT9312,P,Axenic,Low,26,39500000.00,57400000.00,NAN,Morris_2011_5
VOL4,MIT9312,P,EZ55,High,0,389.00,495.00,353.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,High,1,177.00,141.00,353.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,High,3,1480.00,918.00,2120.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,High,6,3460.00,3570.00,2650.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,High,8,14500.00,16600.00,16500.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,High,10,66200.00,70800.00,63700.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,High,13,580000.00,627000.00,555000.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,High,16,5470000.00,6230000.00,5730000.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,High,19,40200000.00,48000000.00,50100000.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,Low,0,177.00,283.00,495.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,Low,1,283.00,283.00,424.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,Low,3,1770.00,1590.00,1450.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,Low,6,5330.00,5720.00,7380.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,Low,8,18200.00,23100.00,28600.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,Low,10,59100.00,72600.00,98000.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,Low,13,341000.00,470000.00,636000.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,Low,16,1830000.00,3060000.00,3870000.00,Morris_2011_5
VOL4,MIT9312,P,EZ55,Low,19,11500000.00,19400000.00,31000000.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,0,212.00,212.00,424.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,1,283.00,283.00,353.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,3,1200.00,1770.00,2610.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,6,636.00,247.00,636.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,8,1410.00,600.00,1450.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,10,1910.00,742.00,2370.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,13,5050.00,1630.00,5300.00,Morris_2011_5
VOL5,AS9601,P,Axenic,High,16,18900.00,4240.00,10700.00,Morris_2011_5
